	faith_pd
F42-H8	25.39493875419983
F25-T8	22.76406306072861
F35-T8	23.1704972505847
F08-H0	19.42583812567429
F25-H0	17.94797324855703
F24-H0	20.06341242769352
F37-H0	20.97537332239484
F21-H0	22.16885661244946
F26-H8	23.76481360203687
F17-T8	29.22885990348341
F27-T8	23.36387076012181
F36-H8	21.05854645397041
F18-H0	27.33221051617785
F30-T8	22.23627013784687
F25-T0	16.65664077993845
F28-T0	22.37602013897978
F44-T0	22.05389555772578
F08-T0	22.11903527130692
F31-T8	22.46602685962984
F27-H8	18.24824970469752
F42-H0	21.88947614649657
F01-H0	18.42249891199492
F24-T0	17.55096712808706
F31-T0	18.3473414857571
F08-T8	18.57936315473093
F45-H0	19.54250568401667
F32-H8	24.21427563436917
F19-H0	20.96577318236444
F06-H0	19.59351164770485
F23-T8	26.58759968269631
F30-T0	23.46251674582512
F22-T0	24.46798451129521
F04-H0	18.99631151363805
F37-T8	19.65246618439583
F10-T8	22.65594102003493
F10-T0	25.96875824987073
F17-T0	27.95424081724989
F19-T0	24.3796385323972
F36-T8	18.96374779004783
F26-T0	22.85629461803632
F18-H8	25.44432241095786
F04-T0	19.84497962460189
F19-H8	21.53147452346751
F12-T8	27.52495069315244
F14-T8	26.45959681535415
F12-T0	25.62584453972588
F39-H0	24.41374905480842
F34-H0	26.90746528183494
F12-H8	27.40921558392277
F33-T0	20.20065278125687
F17-H0	27.28845664133571
F06-H8	20.90358610656335
F21-T0	21.13722809150002
F45-T8	18.52174558622653
F28-T8	22.58946209378604
F11-H8	26.46704164039964
F14-T0	26.19609022288092
F44-T8	22.58208821973381
F23-H0	24.07448184209256
F45-T0	21.3833501743705
F20-H8	22.1914922063779
F45-H8	17.72738815906989
F35-T0	19.16718354062022
F18-T8	23.76976523984752
F22-H8	24.00572274993561
F13-H8	20.76436234008749
F08-H8	22.15938141686473
F06-T8	19.20879371668868
F42-T8	23.22934503231513
F38-T8	21.12356681693221
F06-T0	19.85638639232998
F39-T0	21.83691445144576
F04-T8	21.36050691928695
F11-H0	26.35562691424217
F09-H8	22.40910172452179
F30-H8	19.08551367724554
F15-T0	29.14380965026484
F09-H0	20.83676002611517
F20-H0	25.47398003926514
F16-T0	22.51690237696661
F10-H0	23.92698502762093
F42-T0	24.34726186730235
F30-H0	19.18581223156518
F14-H8	24.91945968567951
F23-T0	25.95287904207278
F38-T0	20.57580429427868
F16-H8	17.49540873722862
F20-T0	23.27869262163124
F35-H8	23.53306279771191
F37-T0	19.42079456131351
F39-H8	23.82617937654578
F05-T0	21.29021701383292
F31-H8	20.51854787384747
F33-H0	22.65211348539468
F10-H8	21.8474562932473
F33-T8	19.68278143120718
F11-T8	28.03021022152941
F01-H8	18.01487382592855
F20-T8	23.15154513626117
F09-T8	21.85038074351807
F21-H8	20.96744450095898
F24-H8	18.84221150464175
F16-T8	17.1075040471001
F28-H8	21.11581628843313
F05-H0	23.66181924584358
F15-H0	30.38849922801753
F44-H8	23.21504981206263
F13-T0	21.82976858930706
F32-T0	25.88623258855177
F37-H8	18.20850877171501
F14-H0	25.40190901858321
F09-T0	18.56241427500149
F01-T0	18.9327126224717
F19-T8	22.93367968013535
F39-T8	25.17969180528657
F34-H8	28.67130866365716
F27-H0	18.25307115467223
F04-H8	18.08602294534368
F05-H8	26.91227397432291
F31-H0	22.15123407175515
F32-T8	24.13235167796213
F01-T8	20.86670515054786
F21-T8	18.83979527930527
F22-H0	22.90838748444982
F32-H0	24.7597230852312
F33-H8	20.81862201954605
F15-H8	29.25814330946497
F05-T8	23.42888988185108
F36-T0	19.68455207223419
F18-T0	28.41818335050429
F16-H0	16.23974353823649
F25-H8	19.87537209843145
F26-H0	25.16703633137199
F34-T8	26.91699023224272
F22-T8	25.97506973140283
F17-H8	24.61187163597772
F38-H8	20.30430186228323
F38-H0	20.40635199556618
F44-H0	21.42109230651013
F27-T0	18.14431966729035
F28-H0	20.45316550084813
F24-T8	20.21054917776825
F23-H8	26.13716933117104
F34-T0	29.93976701383937
F13-T8	20.68847972784228
F36-H0	21.72948707431772
F15-T8	27.07704115788595
F26-T8	25.02194257041223
F35-H0	22.72378938986558
F12-H0	25.21590333564146
F13-H0	23.27452791464165
F11-T0	27.78807304634489
