	observed_features
F42-H8	807
F25-T8	601
F35-T8	659
F08-H0	480
F25-H0	435
F24-H0	517
F37-H0	567
F21-H0	598
F26-H8	624
F17-T8	1107
F27-T8	700
F36-H8	565
F18-H0	857
F30-T8	759
F25-T0	410
F28-T0	690
F44-T0	732
F08-T0	621
F31-T8	595
F27-H8	487
F42-H0	534
F01-H0	540
F24-T0	402
F31-T0	431
F08-T8	488
F45-H0	491
F32-H8	710
F19-H0	596
F06-H0	530
F23-T8	911
F30-T0	710
F22-T0	812
F04-H0	502
F37-T8	611
F10-T8	724
F10-T0	755
F17-T0	881
F19-T0	673
F36-T8	462
F26-T0	558
F18-H8	733
F04-T0	511
F19-H8	664
F12-T8	832
F14-T8	916
F12-T0	696
F39-H0	738
F34-H0	714
F12-H8	779
F33-T0	612
F17-H0	911
F06-H8	667
F21-T0	692
F45-T8	539
F28-T8	676
F11-H8	867
F14-T0	794
F44-T8	686
F23-H0	702
F45-T0	759
F20-H8	609
F45-H8	415
F35-T0	618
F18-T8	598
F22-H8	752
F13-H8	466
F08-H8	618
F06-T8	473
F42-T8	651
F38-T8	671
F06-T0	486
F39-T0	537
F04-T8	522
F11-H0	806
F09-H8	716
F30-H8	539
F15-T0	951
F09-H0	580
F20-H0	783
F16-T0	701
F10-H0	654
F42-T0	741
F30-H0	492
F14-H8	673
F23-T0	790
F38-T0	616
F16-H8	417
F20-T0	688
F35-H8	664
F37-T0	543
F39-H8	632
F05-T0	546
F31-H8	559
F33-H0	638
F10-H8	659
F33-T8	508
F11-T8	809
F01-H8	418
F20-T8	787
F09-T8	610
F21-H8	580
F24-H8	489
F16-T8	436
F28-H8	564
F05-H0	590
F15-H0	1001
F44-H8	798
F13-T0	674
F32-T0	805
F37-H8	450
F14-H0	757
F09-T0	458
F01-T0	570
F19-T8	653
F39-T8	773
F34-H8	830
F27-H0	452
F04-H8	459
F05-H8	795
F31-H0	622
F32-T8	715
F01-T8	516
F21-T8	435
F22-H0	683
F32-H0	793
F33-H8	587
F15-H8	965
F05-T8	881
F36-T0	548
F18-T0	965
F16-H0	386
F25-H8	455
F26-H0	703
F34-T8	799
F22-T8	816
F17-H8	771
F38-H8	461
F38-H0	610
F44-H0	556
F27-T0	447
F28-H0	520
F24-T8	550
F23-H8	789
F34-T0	921
F13-T8	530
F36-H0	636
F15-T8	752
F26-T8	802
F35-H0	692
F12-H0	749
F13-H0	577
F11-T0	850
