	shannon_entropy
F42-H8	8.276876236678385
F25-T8	8.00153585694388
F35-T8	8.069724928192473
F08-H0	7.488185360943436
F25-H0	7.250054057667882
F24-H0	7.629011555702203
F37-H0	7.698597050054504
F21-H0	7.876945914836423
F26-H8	7.508717089581636
F17-T8	9.01291777714285
F27-T8	8.25288054071471
F36-H8	7.951936750287196
F18-H0	8.680752177622919
F30-T8	8.497641139886733
F25-T0	6.793039006288796
F28-T0	7.90024842443754
F44-T0	8.325276176051812
F08-T0	7.917046734804829
F31-T8	7.6585462812579985
F27-H8	7.2747625247976275
F42-H0	7.718058627793655
F01-H0	7.794897337785029
F24-T0	6.758023571407797
F31-T0	7.302648590157889
F08-T8	7.079859876344411
F45-H0	7.304975537504404
F32-H8	8.169015812766922
F19-H0	7.898091180885508
F06-H0	7.771551408131463
F23-T8	8.8245032334217
F30-T0	8.040566460758507
F22-T0	8.351087344904156
F04-H0	7.288497784915417
F37-T8	7.9281725578471125
F10-T8	8.411505747776241
F10-T0	8.235568039230884
F17-T0	8.846813337484901
F19-T0	8.071614072050025
F36-T8	7.063868297527429
F26-T0	7.357163009449316
F18-H8	8.196004530929418
F04-T0	7.450119050024651
F19-H8	7.788422992676294
F12-T8	8.65922041595071
F14-T8	8.915749348372492
F12-T0	8.336119771252006
F39-H0	8.253761299388707
F34-H0	7.654221130724448
F12-H8	8.285488554086765
F33-T0	8.07560175122031
F17-H0	8.807591192816936
F06-H8	7.603070216042589
F21-T0	8.325961020838994
F45-T8	7.72984692881517
F28-T8	8.28751220144119
F11-H8	8.13056990077335
F14-T0	8.087153498070856
F44-T8	8.265603724337058
F23-H0	7.953820615627083
F45-T0	8.553964446676652
F20-H8	7.694409238019336
F45-H8	6.745648260821041
F35-T0	8.31992802925356
F18-T8	7.691760226661823
F22-H8	8.490403398133964
F13-H8	7.147871297412852
F08-H8	8.066129030090124
F06-T8	7.346153185963799
F42-T8	7.67574411804514
F38-T8	8.357093706470941
F06-T0	6.815500838184016
F39-T0	7.9929850028602205
F04-T8	6.988180409307687
F11-H0	8.167291620277012
F09-H8	8.27458936366609
F30-H8	7.54989941575396
F15-T0	8.832800473881147
F09-H0	7.5438801774180515
F20-H0	8.271549157042537
F16-T0	7.655871350738575
F10-H0	7.988947768301137
F42-T0	8.070664027472228
F30-H0	7.635577234382412
F14-H8	8.007270430202174
F23-T0	8.033080545269925
F38-T0	8.124161497535331
F16-H8	6.9512985048607305
F20-T0	7.848134896408566
F35-H8	8.007486309371966
F37-T0	7.799511133408623
F39-H8	8.064641098350963
F05-T0	7.651210779294983
F31-H8	7.503927084031113
F33-H0	8.089443818408835
F10-H8	8.016749676914257
F33-T8	7.588385197495829
F11-T8	8.435112314786931
F01-H8	7.108606188781334
F20-T8	8.353254344129438
F09-T8	7.766957684882625
F21-H8	7.79197084109292
F24-H8	7.358577398333135
F16-T8	7.07120021256174
F28-H8	7.075761685225465
F05-H0	7.094261604622189
F15-H0	9.101780368757966
F44-H8	8.656552999940855
F13-T0	8.109190975649806
F32-T0	8.499319956633634
F37-H8	7.337016806655009
F14-H0	8.245026830122185
F09-T0	6.563813776626126
F01-T0	7.717176716023968
F19-T8	8.05245088889929
F39-T8	8.580683301971067
F34-H8	8.408715072725704
F27-H0	7.052050863348653
F04-H8	6.82534745786026
F05-H8	8.197944104931794
F31-H0	7.7232675805569855
F32-T8	8.211686222622106
F01-T8	7.376968642627406
F21-T8	6.957603074564299
F22-H0	8.335843353904446
F32-H0	8.429934798391168
F33-H8	8.007513611620439
F15-H8	8.889000859421774
F05-T8	8.809071407301438
F36-T0	7.891451473332845
F18-T0	8.82986274711325
F16-H0	6.836973033830858
F25-H8	6.995370822428194
F26-H0	8.142816526666023
F34-T8	8.695948512738099
F22-T8	8.308040600394305
F17-H8	8.42930634614081
F38-H8	7.639369321023773
F38-H0	8.235884946612305
F44-H0	7.661606174487768
F27-T0	7.090572716960143
F28-H0	7.452691558707728
F24-T8	7.71545987229846
F23-H8	8.144748859827624
F34-T0	8.790073527290913
F13-T8	7.553742156135647
F36-H0	7.985816651601017
F15-T8	8.0781166294973
F26-T8	8.061733399497788
F35-H0	8.415873805205218
F12-H0	8.45339077442749
F13-H0	7.580813410845901
F11-T0	8.595419556033237
